Union Assurance ,Underwriting and net acquisition costs (net of reinsurance),"-3,543,999","-3,152,291",12,,,
Union Assurance ,"Other operating, administrative and selling expenses","-4,376,585","-3,966,674",10,,,
Union Assurance ,Depreciation and amortisation,"-543,610","-535,088",2,,,
Union Assurance ,"Total benefits, claims and expenses","-25,014,066","-19,825,891",26,,,
Union Assurance ,Profit from operations,"4,943,676","3,490,317",42,,,
Union Assurance ,"Share of results of equity accounted investee, net of tax","311,874","229,642",36,,,
Union Assurance ,Profit before tax,"5,255,550","3,719,959",41,,,
Union Assurance ,Income tax expenses,"-1,497,185","-972,854",54,,,
Union Assurance ,Profit for the year,"3,758,365","2,747,105",37,,,
Union Assurance ,Earnings per share,,,,,,
Union Assurance ,Basic (Rs.),6.38,4.66,37,,,
Union Assurance ,Diluted (Rs.),6.38,4.66,37,,,
,As at 31 December,,,,,,
,Note,Rs. ‘000,Rs. ‘000,,,,
,Assets,,,,,,
Union Assurance ,Intangible assets,"1,130,585","1,311,217",,,,
Union Assurance ,"Property, plant and equipment","3,006,118","2,759,687",,,,
Union Assurance ,Right of use assets,"418,566","455,615",,,,
Union Assurance ,Investment in equity accounted investee,"2,046,001","1,703,160",,,,
Union Assurance ,Financial investments,"83,419,773","64,455,930",,,,
Union Assurance ,Loans to life policyholders,"2,368,021","2,118,116",,,,
Union Assurance ,Reinsurance receivable,"447,558","556,985",,,,
Union Assurance ,Premiums receivable,"1,051,444","878,441",,,,
Union Assurance ,Receivables and other assets,"942,120","777,524",,,,
Union Assurance ,Cash in hand and at bank,"839,475","952,332",,,,
Union Assurance ,Total assets,"95,669,661","75,969,007",,,,
Union Assurance ,Equity and liabilities,,,,,,
Union Assurance ,Equity,,,,,,
Union Assurance ,Stated capital,"1,000,000","1,000,000",,,,
Union Assurance ,Available for sale reserve,"3,334,055","-2,564,622",,,,
Union Assurance ,Revaluation reserve,"2,563,095","2,267,979",,,,
Union Assurance ,Restricted regulatory reserve,"3,381,934","3,381,934",,,,
Union Assurance ,Other reserves,"76,543","85,665",,,,
Union Assurance ,Retained earnings,"13,805,444","10,042,833",,,,
Union Assurance ,Total equity,"24,161,071","14,213,789",,,,
Union Assurance ,Liabilities,,,,,,
Union Assurance ,Insurance contract liabilities,"65,043,384","55,430,893",,,,
Union Assurance ,Insurance contract liabilities - Unit Linked,"718,692","746,484",,,,
Union Assurance ,Lease liabilities,"422,540","448,719",,,,
Union Assurance ,Employee benefit liabilities,"190,578","286,691",,,,
Union Assurance ,Reinsurance payables,"365,027","636,154",,,,
Union Assurance ,Other liabilities,"4,645,809","3,977,798",,,,
Union Assurance ,Bank overdraft,"122,560","228,479",,,,
Union Assurance ,Total liabilities,"71,508,590","61,755,218",,,,
Union Assurance ,Total equity and liabilities,"95,669,661","75,969,007",,,,
,For the year ended 31st March,2022/2023,2021/2022,,,,
,Note,Rs.,Rs.,,,,
Bogawantalawa,Revenue,"5,427,130,442","3,377,524,324",,,,
Bogawantalawa,Cost of sales,"-3,831,910,078","-3,152,809,008",,,,
Bogawantalawa,Gross profit,"1,595,220,364","224,715,316",,,,
Bogawantalawa,Gain on fair value of biological assets,"99,246,110","115,327,800",,,,
Bogawantalawa,Other income,"232,891,596","208,213,537",,,,
Bogawantalawa,,"1,927,358,070","548,256,653",,,,
Bogawantalawa,Administration and other expenses,"-235,776,211","-243,991,195",,,,
Bogawantalawa,Net finance expense,"-257,442,480","-261,548,478",,,,
Bogawantalawa,,"-493,218,691","-505,539,673",,,,
Bogawantalawa,Profit before taxation,"1,434,139,379","42,716,980",,,,
Bogawantalawa,Income tax expenses,"-206,357,203","56,997,729",,,,
Bogawantalawa,Profit for the year,"1,227,782,176","99,714,709",,,,
Bogawantalawa,Items that will be re-classified to profit or loss,-,-,,,,
Bogawantalawa,Items that will not be re-classified to profit or loss,,,,,,
Bogawantalawa,Valuation gains on equity instruments at fair value through other comprehensive income,"23,221,992","-5,066,067",,,,
Bogawantalawa,Remeasurement of retirement benefit obligations,"30,821,963","118,046,930",,,,
Bogawantalawa,Deferred tax impact on retirement benefit obligations,"-9,246,588","-12,394,927",,,,
Bogawantalawa,"Total other comprehensive income for the year, net of tax","44,797,367","100,585,936",,,,
Bogawantalawa,Total comprehensive income for the year,"1,272,579,543","200,300,645",,,,
Bogawantalawa,Basic earnings per share,14.66,1.19,,,,
Bogawantalawa,Diluted earnings per share,14.66,1.19,,,,
Cinnamon,For the year ended 31st March,2023,2022,,,,
Cinnamon,Revenue from contracts with customers,"4,847,533","2,277,448",,,,
Cinnamon,Cost of sales,"-2,760,253","-1,524,994",,,,
Cinnamon,Gross Profit,"2,087,280","752,454",,,,
Cinnamon,Other operating income,"54,732","118,026",,,,
Cinnamon,Selling and Distribution expenses,"-157,144","-78,118",,,,
Cinnamon,Administrative expenses,"-1,397,003","-920,374",,,,
Cinnamon,Other operating expenses,"-587,079","-237,062",,,,
Cinnamon,Results from operating activities,786,"-365,074",,,,
Cinnamon,Finance cost,"-191,090","-62,352",,,,
Cinnamon,Finance income,"9,807","5,635",,,,
Cinnamon,Net Finance cost,"-181,283","-56,717",,,,
Cinnamon,Change in fair value of investment property,"-59,909","-42,374",,,,
Cinnamon,Loss before tax,"-240,406","-464,165",,,,
Cinnamon,Income tax (expense)/reversal,"5,139","-47,781",,,,
Cinnamon,Loss for the year,"-235,267","-511,946",,,,
Cinnamon,Attributable to:,,,,,,
Cinnamon,Equity holders of the parent,"-235,267","-511,946",,,,
Cinnamon,Non-controlling interest,-,-,,,,
Cinnamon,,"-235,267","-511,946",,,,
Cinnamon,Loss per share - Basic/Diluted,-0.53,-1.16,,,,
Cinnamon,Dividend per share,-,-,,,,
